iteration,function operation,time elapsed
171,Resize dataset,8.797645568847656e-05
171,Append arrays,2.0224056243896484
171,Update progress bar,0.0011839866638183594
172,Resize dataset,7.05718994140625e-05
172,Append arrays,0.09692955017089844
172,Update progress bar,0.0006260871887207031
173,Resize dataset,9.393692016601562e-05
173,Append arrays,0.1129457950592041
173,Update progress bar,0.0007979869842529297
174,Resize dataset,7.915496826171875e-05
174,Append arrays,0.13362789154052734
174,Update progress bar,0.0008931159973144531
175,Resize dataset,7.43865966796875e-05
175,Append arrays,0.11407327651977539
175,Update progress bar,0.0006773471832275391
176,Resize dataset,7.390975952148438e-05
176,Append arrays,0.09811711311340332
176,Update progress bar,0.0006816387176513672
177,Resize dataset,8.392333984375e-05
177,Append arrays,0.14916062355041504
177,Update progress bar,0.0010867118835449219
178,Resize dataset,7.891654968261719e-05
178,Append arrays,0.12745356559753418
178,Update progress bar,0.0007138252258300781
179,Resize dataset,7.772445678710938e-05
179,Append arrays,0.10517430305480957
179,Update progress bar,0.0006558895111083984
180,Resize dataset,9.584426879882812e-05
180,Append arrays,0.12269067764282227
180,Update progress bar,0.0008947849273681641
181,Resize dataset,9.465217590332031e-05
181,Append arrays,0.12485241889953613
181,Update progress bar,0.0006563663482666016
182,Resize dataset,7.963180541992188e-05
182,Append arrays,0.13400793075561523
182,Update progress bar,0.0009999275207519531
183,Resize dataset,7.2479248046875e-05
183,Append arrays,0.1293623447418213
183,Update progress bar,0.0008492469787597656
184,Resize dataset,7.534027099609375e-05
184,Append arrays,0.13953304290771484
184,Update progress bar,0.0006136894226074219
185,Resize dataset,7.581710815429688e-05
185,Append arrays,0.11664247512817383
185,Update progress bar,0.0010824203491210938
186,Resize dataset,7.176399230957031e-05
186,Append arrays,0.09863877296447754
186,Update progress bar,0.0006110668182373047
187,Resize dataset,7.414817810058594e-05
187,Append arrays,0.11792683601379395
187,Update progress bar,0.0006101131439208984
188,Resize dataset,7.414817810058594e-05
188,Append arrays,0.11663293838500977
188,Update progress bar,0.0009248256683349609
189,Resize dataset,9.012222290039062e-05
189,Append arrays,0.1447618007659912
189,Update progress bar,0.0008196830749511719
190,Resize dataset,7.700920104980469e-05
190,Append arrays,0.10508918762207031
190,Update progress bar,0.0008394718170166016
191,Resize dataset,7.581710815429688e-05
191,Append arrays,0.13220620155334473
191,Update progress bar,0.0007405281066894531
192,Resize dataset,7.534027099609375e-05
192,Append arrays,0.1474294662475586
192,Update progress bar,0.0009021759033203125
193,Resize dataset,8.845329284667969e-05
193,Append arrays,0.1196436882019043
193,Update progress bar,0.0006918907165527344
194,Resize dataset,6.937980651855469e-05
194,Append arrays,0.09856104850769043
194,Update progress bar,0.0007350444793701172
195,Resize dataset,7.677078247070312e-05
195,Append arrays,0.10317301750183105
195,Update progress bar,0.0006940364837646484
196,Resize dataset,9.703636169433594e-05
196,Append arrays,0.11729192733764648
196,Update progress bar,0.0007932186126708984
197,Resize dataset,7.390975952148438e-05
197,Append arrays,0.11448144912719727
197,Update progress bar,0.0008218288421630859
198,Resize dataset,8.940696716308594e-05
198,Append arrays,0.11403226852416992
198,Update progress bar,0.0006427764892578125
199,Resize dataset,7.2479248046875e-05
199,Append arrays,0.10430550575256348
199,Update progress bar,0.0006422996520996094
200,Resize dataset,9.584426879882812e-05
200,Append arrays,0.11084866523742676
200,Update progress bar,0.0007584095001220703
201,Resize dataset,8.678436279296875e-05
201,Append arrays,0.10881781578063965
201,Update progress bar,0.0006699562072753906
202,Resize dataset,6.747245788574219e-05
202,Append arrays,0.1816239356994629
202,Update progress bar,0.0009520053863525391
203,Resize dataset,0.0010941028594970703
203,Append arrays,0.15829181671142578
203,Update progress bar,0.0008156299591064453
204,Resize dataset,7.62939453125e-05
204,Append arrays,0.13241291046142578
204,Update progress bar,0.0006923675537109375
205,Resize dataset,0.00021076202392578125
205,Append arrays,0.13315081596374512
205,Update progress bar,0.0018734931945800781
206,Resize dataset,0.00023436546325683594
206,Append arrays,0.17770171165466309
206,Update progress bar,0.0010521411895751953
207,Resize dataset,7.843971252441406e-05
207,Append arrays,0.13814473152160645
207,Update progress bar,0.0009534358978271484
208,Resize dataset,6.914138793945312e-05
208,Append arrays,0.12322044372558594
208,Update progress bar,0.0009064674377441406
209,Resize dataset,7.581710815429688e-05
209,Append arrays,0.1331462860107422
209,Update progress bar,0.0007114410400390625
210,Resize dataset,9.393692016601562e-05
210,Append arrays,0.09882259368896484
210,Update progress bar,0.000720977783203125
211,Resize dataset,7.414817810058594e-05
211,Append arrays,0.10319662094116211
211,Update progress bar,0.0006463527679443359
212,Resize dataset,7.772445678710938e-05
212,Append arrays,0.13953447341918945
212,Update progress bar,0.0007143020629882812
213,Resize dataset,7.581710815429688e-05
213,Append arrays,0.09634685516357422
213,Update progress bar,0.0006830692291259766
214,Resize dataset,8.273124694824219e-05
214,Append arrays,0.10296368598937988
214,Update progress bar,0.0007688999176025391
215,Resize dataset,0.0002620220184326172
215,Append arrays,0.20754718780517578
215,Update progress bar,0.001079559326171875
216,Resize dataset,7.796287536621094e-05
216,Append arrays,0.10836935043334961
216,Update progress bar,0.0010106563568115234
217,Resize dataset,0.00012421607971191406
217,Append arrays,0.13452982902526855
217,Update progress bar,0.0010652542114257812
218,Resize dataset,7.82012939453125e-05
218,Append arrays,0.13430452346801758
218,Update progress bar,0.0008308887481689453
219,Resize dataset,8.153915405273438e-05
219,Append arrays,0.14112424850463867
219,Update progress bar,0.0010716915130615234
220,Resize dataset,7.62939453125e-05
220,Append arrays,0.13585424423217773
220,Update progress bar,0.0008726119995117188
221,Resize dataset,7.510185241699219e-05
221,Append arrays,0.1493387222290039
221,Update progress bar,0.0007843971252441406
222,Resize dataset,7.700920104980469e-05
222,Append arrays,0.10023760795593262
222,Update progress bar,0.0007424354553222656
223,Resize dataset,9.655952453613281e-05
223,Append arrays,0.1158134937286377
223,Update progress bar,0.000644683837890625
224,Resize dataset,7.43865966796875e-05
224,Append arrays,0.13936686515808105
224,Update progress bar,0.0012996196746826172
225,Resize dataset,7.271766662597656e-05
225,Append arrays,0.12348246574401855
225,Update progress bar,0.00104522705078125
226,Resize dataset,8.630752563476562e-05
226,Append arrays,0.10179710388183594
226,Update progress bar,0.0006649494171142578
227,Resize dataset,8.988380432128906e-05
227,Append arrays,0.11652970314025879
227,Update progress bar,0.0006780624389648438
228,Resize dataset,8.130073547363281e-05
228,Append arrays,0.1580519676208496
228,Update progress bar,0.0007846355438232422
229,Resize dataset,7.963180541992188e-05
229,Append arrays,0.14531397819519043
229,Update progress bar,0.0008771419525146484
230,Resize dataset,7.891654968261719e-05
230,Append arrays,0.17560863494873047
230,Update progress bar,0.00099945068359375
231,Resize dataset,7.367134094238281e-05
231,Append arrays,0.15055441856384277
231,Update progress bar,0.0009183883666992188
232,Resize dataset,7.510185241699219e-05
232,Append arrays,0.15426921844482422
232,Update progress bar,0.0011036396026611328
233,Resize dataset,7.772445678710938e-05
233,Append arrays,0.1264176368713379
233,Update progress bar,0.0009016990661621094
234,Resize dataset,7.867813110351562e-05
234,Append arrays,0.135880708694458
234,Update progress bar,0.0008933544158935547
235,Resize dataset,0.000335693359375
235,Append arrays,0.11196160316467285
235,Update progress bar,0.0018029212951660156
236,Resize dataset,0.00013375282287597656
236,Append arrays,0.18111252784729004
236,Update progress bar,0.0006127357482910156
237,Resize dataset,7.43865966796875e-05
237,Append arrays,0.1469109058380127
